Lap Number,Max VERSTAPPEN,Daniel RICCIARDO,Lando NORRIS,Sebastian VETTEL,Nicholas LATIFI,Pierre GASLY,Sergio PEREZ,Fernando ALONSO,Charles LECLERC,Lance STROLL,Kevin MAGNUSSEN,Yuki TSUNODA,Alexander ALBON,ZHOU Guanyu,Esteban OCON,Lewis HAMILTON,Mick SCHUMACHER,Carlos SAINZ,George RUSSELL,Valtteri BOTTAS
19,2:00.520,2:01.884,2:00.932,2:01.333,,2:01.020,1:58.717,2:00.463,1:59.176,2:01.428,2:02.761,2:01.240,2:02.806,,2:02.158,1:59.706,2:02.038,1:59.869,2:02.174,2:02.142
20,2:00.559,2:01.471,2:00.536,2:01.365,,2:00.747,1:58.519,2:00.640,1:59.107,2:01.250,2:03.088,2:01.304,2:03.093,,2:02.038,1:59.735,2:01.780,2:00.003,2:02.244,2:02.065
21,2:09.641,2:16.073,2:08.476,2:14.128,,2:12.248,1:58.780,,1:59.446,2:16.746,2:20.564,2:28.641,2:20.921,,2:21.871,2:06.741,2:20.120,2:06.780,,2:21.775
21 (P),,,,,,,,,,,,,,,,,,,21:11:20,
22,2:35.288,2:29.699,2:36.906,2:30.735,,2:31.864,2:39.777,,2:39.789,2:29.236,2:27.787,2:28.707,2:29.359,,2:28.090,2:36.072,2:28.565,2:36.659,2:45.912,2:28.554
23,1:58.377,2:01.076,1:59.786,1:59.802,,2:00.568,2:03.986,,2:03.112,1:59.592,2:00.849,2:01.296,2:03.038,,2:01.732,2:01.904,2:00.362,2:01.685,2:09.869,2:01.548
24,1:58.784,2:00.897,1:59.302,2:00.070,,2:00.254,1:58.332,,1:58.443,1:59.199,2:00.292,2:00.864,2:02.121,,2:01.105,1:59.451,2:00.225,1:58.940,2:05.338,2:01.628
25,1:59.689,2:00.839,2:00.145,1:59.714,,1:59.829,1:58.161,,1:58.576,1:59.695,2:00.860,2:00.402,,,2:01.171,1:59.195,2:00.487,1:59.192,2:13.650,2:00.992
25 (P),,,,,,,,,,,,,21:11:21,,,,,,,
26,2:22.695,2:23.917,2:22.891,2:21.882,,2:22.811,2:14.801,,2:15.018,2:22.271,2:25.279,2:25.390,,,2:24.936,2:17.933,2:23.638,2:17.465,2:20.493,2:25.028
27,2:00.464,2:00.418,1:59.951,1:59.805,,2:00.028,2:06.003,,2:06.478,1:59.002,1:59.948,2:00.193,,,,2:04.014,2:00.664,2:04.708,2:05.212,2:01.219
